resultPosition,trapNumber,raceTime,raceDate,raceId,raceNumber,raceClass,raceDistance,meetingId,trackName,dogId,dogName,dogSire,dogDam,trainerName,ownerName
1,4,20:43:00,27/01/2018,407118,10,A3,500.0,334781,Sheffield,477455,Oakvale Curly,Kinloch Brae,Windmill Daisey,A O Hopkins,"Mr C Crampton,mr D Priestley"
1,6,20:42:00,27/01/2018,407133,9,A2,480.0,334783,Monmore,477524,Lacken Miley,Premier Fantasy,Lacken Rua,P A Curtin,"Mr J Bownes,mr B Knight"
1,5,20:42:00,27/01/2018,407088,5,A7,435.0,334769,Pelaw Grange,470513,Simple Girl,Sparta Maestro,Drumna Bell,J Brass,Mr T Ryman
1,5,20:37:00,27/01/2018,407078,9,A6,515.0,334826,Hove,496795,Droopys Tay,Greenwell Hawk,Droopys Keisha,W E Short,Mr N C Jones
1,5,20:34:00,27/01/2018,407154,5,A7,480.0,334761,Perry Barr,455866,Drumurrer Rumble,Ace Hi Rumble,Holston River,S A Aveline,Mrs S A Aveline
1,5,20:34:00,27/01/2018,407372,5,OR,540.0,334742,Crayford,471684,Oakfield Caesar,Kinloch Brae,Have You One,J G Mullins,"Mr L W Calcutt,mr C Waters"
1,3,20:34:00,27/01/2018,407372,5,OR,540.0,334742,Crayford,487561,Millroad Susie,Droopys Cain,Millroad Mac,L E Morrison,The Happy Trappers
1,2,20:32:00,27/01/2018,407743,8,A3,400.0,334802,Romford,490530,Ashville Candy,Vans Escalade,Prodigy Penny,M E Lucas,Miss M E Lucas
1,5,20:32:00,27/01/2018,407507,5,HP,480.0,334832,Newcastle,480312,Newlawn Nancy,Godsend,Ms Crossfire,S Anderson,Mr C Briggs
1,4,20:30:00,27/01/2018,407287,7,A4,470.0,334744,Belle Vue,489947,Knockmant Marco,Ballymac Vic,Blackstone Mini,B Heaton,Forty Percent Again
1,4,20:30:00,27/01/2018,407348,7,A8,480.0,334811,Swindon,491712,Tashas Wee Bubba,Bubbly Olly,Dance Carla,T Atkins,Miss J S Atkins
1,3,20:30:00,27/01/2018,407166,5,A4,450.0,334746,Poole,498844,Idezerotohero,Zero Ten,Cornamaddy Spin,D G Mitchell,Mr A J White
1,4,20:30:00,27/01/2018,407301,5,A7,435.0,334709,Peterborough,474033,Cappagh Jet,Droopys Jet,Brandon Linger,W M Scoles,Mr D Willgress
1,5,20:30:00,27/01/2018,407049,3,HP,480.0,334800,Shawfield,503666,Bluebell Blitz,Greenwell Hawk,Bluebell Sparkle,G Rankin,Mr G Rankin
1,4,20:29:00,27/01/2018,407061,5,A4,500.0,334818,Nottingham,493826,Tybar Jay,Tybar Hondo,Tybar Ellie,B Denby,Miss D F Barr
1,5,20:29:00,27/01/2018,407179,5,A3,462.0,334794,Yarmouth,503060,Random Dancer,Kinloch Brae,Brave Meave,P D Burr,The Midas Syndicate
1,6,20:29:00,27/01/2018,407024,4,D3,268.0,334785,Kinsley,488279,Earl Of Dunlade,Ballymac Vic,Mineola Smile,L J Wilson,Koata Greyhound Racing Club
1,6,20:28:00,27/01/2018,407142,4,S4,686.0,334774,Towcester,468535,Catunda Daisy,Droopys Jet,Jamaican Star,M A Wallis,Mr D M Wallis
1,5,20:26:00,27/01/2018,407132,8,A3,480.0,334783,Monmore,486836,Supreme Merlot,Take The Crown,Ballymac Mighty,S M Buckland,Mr M Buckland
1,1,20:26:00,27/01/2018,407117,9,A7,500.0,334781,Sheffield,502425,Rough Houdini,You Mind Me,Lughill Amber,L Taylorson,Mr L Taylorson
1,2,20:24:00,27/01/2018,407087,4,A6,435.0,334769,Pelaw Grange,474972,Archaton Moral,Kinloch Brae,Archaton April,K A Kennedy,Miss L Burton
1,4,20:21:00,27/01/2018,407077,8,A11,515.0,334826,Hove,498922,South Downs Dex,Boherna House,Mack Me Daddy,A E Gardiner,Mrs C J Warren
